Club Name,Website
Cathcart Castle Golf Course,https://www.cathcartcastle.net
Cathkin Braes Golf Club,https://cathkinbraesgolfclub.co.uk
Cawder Golf Club,https://www.cawdergolfclub.com
Cawdor Castle Golf Club,https://www.cawdorcastle.com/golf/index.cfm
Charleton Golf Club,https://charleton.co.uk
Cleveland Golf Club,https://www.clevelandgolfclub.co.uk
Clober Golf Club,https://www.clobergolfclub.co.uk
Cluba-goilf Steòrnabhaigh (Stornoway Golf Club),https://www.stornowaygolfclub.co.uk
Cluny Activities,https://www.clunyactivities.co.uk/golf
Clydebank & District Golf Course,https://www.clydebankdgc.co.uk
Cochrane Castle Golf Club,https://cochranecastle.com
Cocken Lodge Golf Course,https://cockenlodgegolf.my.canva.site/cocken-website
Colonsay Golf Club,https://www.colonsay.org.uk/Things-to-Do/Golf
Colvend Golf Club,https://www.colvendgolfclub.co.uk
Colville Park Golf Course,https://colvilleparkgc.co.uk
Comann Goilf na Hearadh,https://www.harrisgolf.com
Comrie Golf Course,https://www.comriegolf.co.uk
Comunn Goilf Bharraidh,https://isleofbarra.com/barragolfclub.htm
Corrie Golf Club,https://www.golfonarran.com
Covesea Links,https://covesealinks.com
Cowal Golf Club,https://www.cowalgolfclub.online
Cowglen Golf Club,https://www.cowglengolfclub.co.uk
Craggan Golf Course,https://www.cairngormsactivities.co.uk/golf
Craibstone Golf Course,https://www.marshall-leisure.co.uk
Craigie Hill Golf Course,https://www.craigiehill.co.uk
Craigielaw Golf Club,https://www.craigielawgolfclub.com
Craigknowes Golf Course,https://www.facebook.com/p/Craigieknowes-Golf-course-61573624352340/
Craigmillar Park Golf Club,https://www.craigmillarpark.co.uk
Craignure Golf Club,https://craignuregolfclub.co.uk
Craigtoun Country Park,https://www.friendsofcraigtoun.org.uk/attractions/park-golf
Crail Golf Society,https://crailgolfingsociety.co.uk/golf/balcomie-links
Crichton Golf Club,https://www.crichtongolfclub.com
Crieff Golf Club,https://crieffgolf.co.uk
Crieff Hydro Golf Course,https://www.crieffhydro.com/
Crow Wood Golf Club,https://www.crowwoodgolfclub.co.uk
Cruden Bay Golf Club,https://www.crudenbaygolfclub.co.uk
Cullen Golf Club,https://www.cullengolfclub.co.uk
Cupar Golf Club,https://www.cupargolfclub.co.uk
Dalbeattie Golf Club,https://www.dalbeattiegolfclub.co.uk
Dalmahoy Hotel & Country Club,https://www.dalmahoyhotelandcountryclub.co.uk
Dalmally Golf Club,https://www.dalmallygolfclub.co.uk
Dalmilling Golf Course,https://www.golfsouthayrshire.com/play/the-courses/dalmiling
Dalmuir Municipal Golf Course,https://www.west-dunbarton.gov.uk/leisure-parks-events/dalmuir-golf-course
Dalziel Golf Course,https://dalzielpark.co.uk/golf
David Lloyd Rouken Glen Golf Club,https://www.davidlloyd.co.uk/clubs/glasgow-rouken-glen/at-glasgow-rouken-glen/golf
Deer Park,https://www.deer-park.co.uk
Deeside Golf Club,https://www.deesidegolfclub.com
Dodhead Golf Course,https://www.burntislandgolfhouseclub.co.uk
Dollar Golf Club,https://www.dollargolfclub.com
Dougalston Golf Course,https://www.dougalstongolfclub.co.uk/contact
Douglas Park Golf Club,https://www.douglasparkgolfclub.co.uk
Douglas Water Golf Course,https://www.facebook.com/DWGClub/
Downfield Golf Club,https://www.downfieldgolf.com
Dragon's Tooth Golf Club,http://www.dragonstooth.co.uk
Drimsynie Estate Golf Course Lochgoilhead,https://www.argyllholidays.com/parks/drimsynie-estate-holiday-village
Drumoig Golf Centre,http://www.drumoiggolfcentre.co.uk
Drumoig Golf Hotel,https://www.drumoiggolfhotel.com
Drumpellier Golf Course,http://www.drumpelliergolf.co.uk
Duddingston Golf Course,https://www.duddingstongolfclub.co.uk
Duff House Royal Golf Club,https://www.duffhouseroyal.com
Dufftown Golf Club,https://dufftowngolfclub.com
Dullatur Golf Course,https://www.dullaturgolf.com
Dumbarnie Links,https://dumbarnielinks.com
Dumbarton Golf Club,https://dumbartongolfclub.co.uk
Dumfries and Galloway Golf Course,https://www.dandggolfclub.co.uk
Dunaverty Golf Club,http://www.dunavertygolfclub.com
Dunbar Golf Club,https://www.dunbargolfclub.com
Dunblane New Golf Club,https://www.dngc.co.uk
Dundas Parks Golf Club,https://www.dundasparksgolf.co.uk
Dundonald Links,https://www.dundonaldlinks.com
Dunecht House Golf Club,https://www.dunechthousegolfclub.co.uk
Dunes Golf Centre,https://dunesgolfcentre.co.uk
Dunfermline Golf Club,https://dunfermlinegolfclub.com/
Dunkeld and Birnam Golf Club,https://www.dunkeldandbirnamgolfclub.co.uk
Dunning Golf Club,https://www.dunninggolfclub.co.uk
Duns Golf Course,https://www.dunsgolfclub.com
Durness Golf Club,https://www.durnessgolfclub.org
Earl of Mar Golf Course,https://www.marhall.com/golf
East Kilbride Golf Club,https://www.ekgolfclub.com
East Renfrewshire Golf Club,https://www.eastrengolfclub.co.uk
Easter Moffat Golf Club,https://www.emgc.org.uk
Eastwood Golf Course,https://www.eastwoodgolfclub.co.uk
Eden Golf Club,https://www.edengolf.co.uk
Edzell Golf Club,https://www.edzellgolfclub.com
Elderslie Golf Club,https://eldersliegolfclub.com
Elgin Golf Club,https://www.elgingolfclub.com
Elie Sports Club,https://www.eliesportsclub.co.uk/golf
Elmwood Golf Course,https://www.elmwoodgolf.co.uk
Erskine Golf Club,https://www.erskinegolfclublimited.co.uk
Eyemouth Golf Club,https://www.eyemouthgolfclub.co.uk
Fair Isle Lighthouse Keeper's Golf Course,https://fair-isle.blogspot.com/p/golf.html
Fairmont St Andrews,https://www.standrewsbay.com
Fairways Loch Ness Golf Club,http://www.golflochness.com
Falkirk Tryst Golf Club,https://www.falkirktrystgolfclub.com
Falkland Golf Club,https://www.falklandgolfclub.com
Feddinch Mains,https://amgolf.consultationonline.co.uk
Fereneze Golf Club,https://www.ferenezegolfclub.org
Fife Golf Trust,https://fifegolftrust.co.uk/dunnikier-golf-course
Fife Golf Trust,https://cowdenbeath-golfclub.com
Fife Golf Trust,https://www.scooniegolfclub.com/https://fifegolftrust.co.uk/scoonie-golf-course
Fitzsimmons Group,https://fitzsimmonsgroup.co.uk/riverside-lodge-hotel/
Forbes of Kingennie Golf Course,https://forbesofkingennie.co.uk
Forfar Golf Club,https://www.forfargolfclub.co.uk
Forres Golf Club,https://forresgolfclub.co.uk
Forrester Park Golf Course,https://www.forresterparkresort.com
Fort Augustus Golf Club,
Fortrose & Rosemarkie Golf Club,https://www.fortrosegolfclub.co.uk
Foulford Inn Golf Course,https://foulfordinn.co.uk
Foyle Golf Club,https://www.foylegolfcentre.co.uk
Fraserburgh Golf Club,https://fraserburghgolfclub.org
Gairloch Golf Club,https://gairlochgolfclub.co.uk
Galashiels Golf Course,https://www.galashielsgolfclub.co.uk
Garmouth & Kingston Golf Course,http://garmouthkingstongolfclub.com
George Washington Hotel Golf and Spa,https://www.georgewashington.co.uk/contact
Gifford Golf Club,https://www.giffordgolfclub.com
Gigha Golf Club,https://www.visitgigha.co.uk/Golf
Girvan,https://www.girvangolf.com
Glasgow Golf Club (Killermont Course),https://www.glasgowgolfclub.com/killermont.asp
Glasgow Golf Club / Gailes Links,https://www.gaileslinks.co.uk
Glasgow Life,https://www.glasgowlife.org.uk/sport/venues/littlehill-golf-club
Gleddoch Golf and Spa Resort,https://www.gleddoch.com/golf
Glen Golf Club,https://www.glengolfclub.co.uk
Glenalmond College Golf Course,https://www.glenalmondcollege.co.uk/co-curricular/sports/golf-school
Glenbervie Golf Course,https://www.glenberviegolfclub.com
Glencorse Golf Club,https://www.glencorsegolfclub.com
Glencruitten Golf Club,https://www.golfoban.com
Gleneagles Golf Resort,https://www.gleneagles.com/golf
Glenrothes Golf Course,http://www.glenrothesgolf.org.uk
Gogarburn Golf Course,https://www.gogarburngc.com
Golf at Roe Valley,https://www.roevalleyresort.com
Golspie Golf Club,https://www.golspiegolfclub.co.uk
Gordonstoun School,https://www.gordonstoun.org.uk/
Gourock Golf Club,https://www.gourockgolfclub.com
Grangemouth Golf Club,https://www.grangemouthgolfclub.co.uk
Grantown-On-Spey Golf Club,http://www.grantownonspeygolfclub.co.uk
Greenburn Golf Club,https://www.greenburngolfclub.co.uk
Greenock Golf Club,https://greenockgolfclub.co.uk
Gullane Golf Club,https://gullanegolfclub.com
Guthrie Castle,http://www.guthriecastle.com/tour-the-castle-scottish-event-venue/golf-course
Haddington Golf Course,https://www.haddingtongolf.co.uk
Haggerston Castle Golf Course,https://haggerstongolf.co.uk
Haggs Castle Golf Course,https://haggscastlegolfclub.com
Hamilton Golf Club,https://www.hamiltongolfclub.co.uk
Harburn Golf Club,https://harburngolfclub.co.uk
Hawick Golf Course,https://www.hawickgolfclub.com
Hayston Golf Club,https://www.haystongolf.com
Heads of Ayr Golf Course,https://headsofayr.com/things-to-do/golf/
Helensburgh Golf Club,https://www.helensburghgolfclub.co.uk
Helmsdale Community Golf Club,http://www.helmsdale.org/golf.html
Hilton Park Golf Club,https://www.hiltonpark.net
Hoddom Castle Caravan Site golf course,https://www.hoddomcastle.co.uk
Hollandbush Golf Course,https://www.hollandbushgolfclub.co.uk
Hopeman Golf Club,http://www.hopemangc.co.uk
Huntly Golf Club,https://www.huntlygolfclub.com
iLactive,https://ilactivegolf.com
Inchmarlo Golf Resort,https://www.inchmarlogolf.co.uk
Ineos Golf Club,https://ineosgolfclub.webs.com
Innerleithen Golf Club,https://www.innerleithengolf.co.uk
Insch Golf Club,https://www.inschgolfclub.co.uk
Inverallochy Golf Club,https://www.inverallochygolfclub.com
Inveraray Golf Club,
Invergordon Golf Club,https://invergordongolf.co.uk
Inverness Golf Club,https://www.invernessgolfclub.co.uk
Inverurie Golf Club,https://www.inveruriegolfclub.co.uk
Iona Golf Course,
Irvine Golf Club,https://www.theirvinegolfclub.co.uk
Irvine Ravenspark Golf Club,https://www.irgc.co.uk
Isle of Eriska Golf Club,https://www.eriska-hotel.co.uk/
Isle of Skye Golf Club,https://www.isleofskyegolfclub.co.uk
Jedburgh Golf Course,https://www.jedburghgolfclub.co.uk
Keith Golf Club,http://www.keithgolfclub.co.uk
Kelso Golf Club,https://www.kelsogolfclub.co.uk
Kemnay Golf Club,https://www.kemnaygolfclub.co.uk
Kilbirnie Place Golf Club,https://www.kilbirnieplacegc.co.uk
Killin Golf Club,https://www.killingolfclub.co.uk
Killymoon Golf Club,https://www.killymoongolfclub.com
Kilmacolm Golf Club,https://www.kilmacolmgolfclub.com
Kilmarnock Golf Club Barassie Links,https://www.kbgc.co.uk
Kilrea Golf Course,https://kilreagolfclub.com
Kilspindie Golf Club,http://kilspindiegolfclub.co.uk
Kilsyth Lennox Golfcouse,https://www.kilsythlennox.com
King James VI Golf Club,https://www.kingjamesvi.co.uk
King's Acre Golf Course,https://www.kings-acregolf.com
King's Golf Club,https://www.kingsgolfclubinverness.co.uk
Kingsbarns Golf Links,https://www.kingsbarns.com
Kingsfield Golf Course,https://www.kingsfieldgolf.com
Kingsknowe Golf Course,https://www.kingsknowe.com
Kingussie Golf Club,https://kingussiegolfclub.co.uk
Kinross Golf Club (Green Hotel),https://www.kinrossgolfclub.co.uk/
Kintore Golf Club,https://www.kintoregolfclub.net
Kippie Lodge Sports & Leisure,http://www.kippielodge.com/sports
Kirkcaldy Golf Club,https://kirkcaldygolfclub.co.uk
Kirkcudbright Golf Course,https://www.kirkcudbrightgolf.co.uk
Kirkhill Golf Club,https://www.kirkhillgolfclub.org.uk
Kirkintilloch Golf Club,https://www.kirkintillochgolfclub.com
Kirriemuir Golf Club,https://www.kirriemuirgolfclub.co.uk
Knightswood Golf Course,https://www.glasgowlife.org.uk/sport/our-facilities/golfcourses/knightswood-golf-course
Kyles of Bute Golf Club,https://www.kylesofbutegolfclub.co.uk
Ladybank Golf Club,https://ladybankgolf.co.uk/
Lamlash Golf Club,https://www.lamlashgolfclub.com
Lanark Golf Club,https://www.lanarkgolfclub.co.uk
Langholm Golf Club,https://www.langholmgolfclub.co.uk
Langlands Golf Club,https://www.langlandsgolfclub.co.uk
Largs Golf Course,https://www.largsgolfclub.co.uk
Lauder Golf Club,https://lauder.golf-club.website/website
Leadhills Golf Course,https://www.leadhillsgolfclub.com
Lenzie Golf Club,https://www.lenziegolfclub.co.uk
Leslie Golf Club,https://www.lesliegolfclub.co.uk
Letham Grange Golf Club,https://www.lethamgrangegolfclub.co.uk/
Leven Links,https://www.leven-links.com
Liberton Golf Course,https://www.libertongc.co.uk
Lilliesleaf Golf Course,https://www.dimpleknowe.co.uk/
Linlithgow Golf Club,https://www.linlithgowgolf.co.uk
Loch Lomond Golf Course,https://www.lochlomond.com
Loch of Aboyne Golf Course,
Loch View Golf Course,https://www.activenl.co.uk/venue-finder/venues-3/lochview-family-golf-centre
Lochcarron Golf Course,https://lochcarrongolfclub.co.uk
Lochgelly Golf Club,https://www.lochgellygolfclub.co.uk
Lochgilphead Golf Club,https://www.lochgilpheadgolfclub.co.uk
Lochmaben Golf Club,https://www.lochmabengolf.co.uk
Lochranza Golf Course,http://www.lochranzagolf.com
Lochview Family Golf Centre,https://www.activenl.co.uk/lochview-family-golf-centre
Lochwinnoch Golf Club,https://www.lochwinnochgolf.co.uk
Lockerbie Golf Club,http://www.lockerbiegolf.co.uk
Longniddry Golf Course,https://www.longniddrygolfclub.co.uk
Longside Golf Club,https://longsidegolfclub.co.uk
Loudoun Gowf Club,https://www.loudoungowfclub.co.uk
Luffness New Golf Club,https://www.luffnessnew.com
Lumphanan Golf Course,https://www.lumphanangolfclub.co.uk
Lundin Golf Club,https://www.lundingolfclub.co.uk
Lundin Ladies Golf Club,http://www.lundinladiesgolfclub.co.uk
Lybster Golf Club,https://lybstergolfclub.co.uk
Macdonald Cardrona,https://www.macdonaldhotels.co.uk/cardrona/golf
Macdonald Spey Valley Championship Golf Course,https://www.macdonaldhotels.co.uk/spey-valley/golf
Machrie Bay Golf Course,https://machriebay.com
Machrihanish Dunes Golf Course,http://www.machrihanishdunes.com
Machrihanish Links,https://www.machgolf.com
Mains of Taymouth Golf Course,https://www.taymouth.co.uk/on-site-facilities/kenmore-golf-course.htm
Maverston Golf Course,https://www.maverstongolf.com
Maybole Golf Course,https://www.maybolegolf.com
McDonald Golf Course,https://www.ellongolfclub.co.uk
Mearns Castle Golf Academy,https://mcgolfacademy.co.uk
Meldrum House Golf Course,https://www.meldrumhouse.com/golf
Melrose Golf Club,https://melrosegolfclub.co.uk
Melville Golf Course,https://www.melvillegolf.com
Merchants of Edinburgh Golf Club,https://www.merchantsgolf.com
Millport Golf Course,https://Millport Golf Course
Milnathort Golf Club,https://www.milnathortgolfclub.co.uk
Milngavie Golf Club,https://www.milngaviegolfclub.co.uk
Minto Golf Course,https://www.mintogolf.co.uk
Moffat Golf Course,https://www.moffatgolfclub.co.uk
Monifieth Golf Links,https://monifiethgolf.co.uk
Monksford House Golf Course,
Montrose Golf Links,https://montrosegolflinks.com
Moray Golf Club,https://www.moraygolf.co.uk
Mortonhall Golf Club,https://www.mortonhallgc.co.uk
Muckhart Golf Club,https://www.muckhartgolf.com
Muir of Ord Golf Club,https://www.muirofordgolfclub.co.uk
Muirfield,https://www.muirfield.org.uk
Muirkirk Golf Club,https://www.muirkirk.org.uk/muirkirk-community-information/muirkirk-golf-club/
Murcar Links Golf Club,https://murcarlinks.com
Murrayfield Golf Course,https://www.murrayfieldgolfclub.co.uk
Murrayshall Country Estate,https://www.murrayshall.co.uk
Musselburgh Golf Course,https://www.themusselburghgolfclub.com
"Musselburgh Links, The Old Golf Course",http://www.musselburgholdlinks.co.uk
Nairn Dunbar Golf Course,https://www.nairndunbar.com
Nairn Golf Club,https://nairngolfclub.co.uk
New Cumnock Golf Course,https://members.tripod.com/bob_newcumnock/golf/welcomex.html
New Galloway Golf Club,https://newgallowaygolfclub.com
Newbattle Golf Club,https://newbattlegolfclub.com
Newburgh Golf Club,https://www.newburghgolfclub.co.uk
Newcastle United Golf Club,https://www.newcastleunitedgolfclub.co.uk
Newcastleton Golf Course,https://www.visitnewcastleton.com/content/newcastleton-golf-club
Newmachar Golf Club,https://www.newmachargolfclub.co.uk
Newton Stewart Golf Club,https://www.newtonstewartgolfclub.co.uk
Newtonmore Golf Club,https://www.newtonmoregolf.com
Newtownstewart Golf Club,https://www.newtownstewartgolfclub.com
Niddry Castle Golf Club,https://www.niddrycastlegolfclub.co.uk
North Gailes Golf Centre,http://www.northgailes.co.uk/golf.html
North Ronaldsay Golf Course,https://northronaldsaytrust.com/2017/06/09/18-hole-golf-course-project
Nunfield Golf Course,https://www.thecounty.co.uk
Oatridge Golf Course,https://www.facebook.com/OatridgeGolf
Ochil Developments,https://www.gwest.co.uk/golf.php
Old Course Ranfurly Golf Club,http://www.oldranfurly.com
Oldmeldrum Golf Club,https://www.oldmeldrumgolf.co.uk
Orkney Golf Club,https://orkneygolfclub.co.uk
Paisley Golf Club,https://paisleygolfclub.com
Palacerigg Golf Club,http://www.palacerigggolfclub.co.uk
Panmure Golf Club,https://www.panmuregolfclub.co.uk
Paul Lawrie Golf Centre,https://www.paullawriegolfcentre.co.uk
Peebles Golf Club,https://www.peeblesgolfclub.com
Percy Wood Country Park,https://www.percywood.co.uk
Perth & Kinross Council,https://www.northinchgolf.co.uk
Peterculter Golf Club,https://www.petercultergolfclub.co.uk
Peterhead Golf Club,https://www.peterheadgolfclub.co.uk/course/craigewan-course
Piperdam Golf & Leisure Resort,https://www.landal.co.uk/parks/piperdam?gclsrc=aw.ds&gad_source=1#filter:eyJhttps://www.landal.co.uk/parks/piperdamzIjoiMyJ9
Pitlochry Golf Course,https://www.pitlochrygolf.co.uk
Pitreavie Golf Club,https://www.pitreaviegolfclub.co.uk
Pollok Golf Course,https://www.pollokgolf.com
Polmont Golf Club,http://www.polmontgolfclub.co.uk
Port Bannatyne Golf Club,http://portbannatynegolfclub.co.uk
Port Glasgow Golf Club,https://www.portglasgowgolfclub.co.uk
Portlethen Golf Club,https://www.portlethengolfclub.com
Portmahomack Golf Club,https://portmahomackgolfclub.com
Portpatrick Dunskey Golf Club,https://www.portpatrickgolfclub.com
Practise area,https://www.stirlinggolfclub.com
Prestonfield Golf Course,https://www.prestonfieldgolf.co.uk
Prestwick Golf Club,https://www.prestwickgc.co.uk
Pumpherston Golf Club,https://www.pumpherstongolfclub.co.uk
Ralston Golf Course,https://www.ralstongolfclub.com
Ranfurly Castle Golf Club,https://www.ranfurlycastlegolfclub.co.uk
Raon Goilf Aisgernis,https://askernishgolfclub.com
Ratho Park Golf Club,https://www.rathoparkgolfclub.co.uk
Ravelston Golf Course,https://www.ravelstongolfclub.co.uk
Reay Golf Course,https://reaygolfclub.com
Renfrew Golf Course,https://www.renfrewgolfclub.net
Roodlea Golf Course,http://www.roodleagolf.co.uk
Rosehearty Golf Club,https://www.roseheartygolfclub.com
Rothes Golf Course,https://www.rothesgolfclub.co.uk
Rothesay Golf Club,https://www.rothesaygolfclub.co.uk
Routenburn Golf Club,https://www.routenburngolfclub.co.uk
Rowallan Castle Golf Course,https://rowallancastle.com/rowallan-championship-golf-course-ayrshire
Roxburghe Hotel & Golf Course,http://www.roxburghe.net/golf-course
Royal Aberdeen Golf Club,https://www.royalaberdeengolf.com
Royal Dornoch Golf Club,https://www.royaldornoch.com
Royal Musselburgh Golf Course,https://www.royalmusselburgh.co.uk
Royal Tarlair Golf Club,https://royaltarlair.co.uk
Royal Troon Golf Club,https://www.royaltroon.co.uk/the-courses/old-course
Ruchill Park Golf Course,https://www.glasgowlife.org.uk/sport/our-facilities/golfcourses/ruchill-golf-course
Rutherford Castle Golf Course,http://rutherfordcastlegc.org.uk
Saline Golf Course,https://salinegc.co.uk
Sandyhills Golf Club,https://www.sandyhillsgolfclub.co.uk
Sanquhar Golf Course,
Scotscraig Golf Club,https://www.scotscraiggolfclub.com
Seaham Golf Club,https://www.seahamgolfclub.co.uk
Selkirk Golf Club,https://www.selkirkgolfclub.co.uk
Seton Sands 9 Hole Golf Course,https://www.haven.com/parks/scotland/seton-sands
Sharpley Golf Course,http://sharpleygolf.blogspot.co.at
Shetland Golf Club,https://www.shetlandgolfclub.co.uk
Shiskine Golf Club,https://www.shiskinegolf.com
Shotts Golf Club,https://www.shottsgolfclub.co.uk
Skeabost House Hotel,
Skelmorlie Golf Club,https://www.skelmorliegolf.co.uk
South Lanarkshire Leisure and Culture Limited,https://www.slleisureandculture.co.uk/info/243/larkhall_golf_course
South Ronaldsay Golf Course,https://southronaldsaygolf.com
Southerness Golf Course,https://southernessgolfclub.com
Spean Bridge Golf Club,https://speangolf.co.uk
Spey Bay Golf Course,https://www.linksdao.io/spey-bay
Spey Valley 9-hole Academy Golf Course,https://www.macdonaldhotels.co.uk/aviemore/see-and-do/activities/golfing
St Andrews Links Trust,http://www.standrews.org.uk/Play/Courses/Balgove-Course
St Andrews Links Trust,https://www.standrews.com/golf/courses/the-craigtoun-course
St Boswells Golf Course,https://www.stboswellsgolfclub.co.uk
St Fillans Golf Club,https://www.st-fillans-golf.com
St Medan Golf Club,https://www.stmedangolfclub.com
St Michaels Golf Club,https://stmichaelsgolfclub.com
St. Cuthbert Golf Club,https://www.stcuthbert.co.uk
St. Nicholas Golf Club,https://www.prestwickstnicholas.com
St. Stephen’s Primary School golf course,https://blogs.glowscotland.org.uk/nl/ststephensprimary
Stonehaven Golf Club,https://www.stonehavengolfclub.com
Stranraer Golf Club,https://www.stranraergolfclub.net
Strathaven Golf Club,https://www.strathavengc.com
Strathclyde Park Golf Course,https://www.slleisureandculture.co.uk/info/244/strathclyde_park_golf_course
Strathendrick Golf Club,https://www.strathendrickgolfclub.co.uk
Strathlene Golf Club,https://www.strathlenegolfclub.co.uk
Strathmore Golf Centre,https://www.strathmoregolf.com
Strathpeffer Spa Golf Club,https://www.strathpeffergolf.co.uk
Stromness Golf Club,https://www.stromnessgc.co.uk
Swanston Golf Course,https://www.swanstongolf.co.uk
Tain Golf Club,https://tain-golfclub.co.uk
Tarbert Golf Club,https://tarbertgolfclub.com
Tarland Golf Club,https://www.tarlandgolfclub.co.uk
Taymouth Castle Golf Course,https://welcometotaymouth.com
Taynuilt Golf Club,https://www.taynuiltgolfclub.co.uk
"The Carnegie Club, Skibo Castle",https://www.carnegieclub.co.uk/golf-championship-links.html
The Carrick Golf Course,https://www.thecarrick.com
The Golf House Club,https://www.golfhouseclub.co.uk
